title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
The Legend of Zelda: A Link to the Past    ,SNES,4.61m,2.42m,0.91m,1.15m,0.13m
Forza Motorsport 4    ,X360,4.60m,2.08m,1.98m,0.06m,0.49m
The Legend of Zelda: The Wind Waker    ,GC,4.60m,2.60m,0.99m,0.89m,0.13m
Guitar Hero III: Legends of Rock    ,Wii,4.60m,3.04m,1.12m,0.00m,0.44m
FIFA 15    ,PS3,4.56m,0.59m,3.25m,0.04m,0.68m
Mario & Sonic at the Olympic Winter Games    ,Wii,4.54m,1.87m,1.97m,0.22m,0.48m
Overwatch    ,PS4,4.54m,1.84m,1.80m,0.17m,0.73m
Madden NFL 2005    ,PS2,4.53m,4.18m,0.26m,0.01m,0.08m
Guitar Hero III: Legends of Rock    ,X360,4.53m,3.19m,0.91m,0.01m,0.42m
Star Wars Battlefront II (2017)    ,PS4,4.53m,1.70m,1.99m,0.12m,0.73m
Pitfall!    ,2600,4.50m,4.21m,0.24m,N/A,0.05m
Madden NFL 07    ,PS2,4.49m,3.63m,0.24m,0.01m,0.61m
Spider-Man: The Movie    ,PS2,4.48m,2.71m,1.51m,0.03m,0.23m
Dragon Quest VII    ,PS,4.47m,0.20m,0.14m,4.10m,0.02m
The Elder Scrolls IV: Oblivion    ,X360,4.47m,2.89m,1.03m,0.13m,0.41m
God of War    ,PS2,4.45m,2.71m,1.29m,0.02m,0.43m
Tony Hawk's Pro Skater 3    ,PS2,4.41m,2.66m,1.29m,0.01m,0.46m
Winning Eleven: Pro Evolution Soccer 2007    ,PS2,4.39m,0.10m,2.39m,1.05m,0.86m
Zelda II: The Adventure of Link    ,NES,4.38m,2.19m,0.50m,1.61m,0.08m
Michael Jackson: The Experience    ,Wii,4.37m,2.64m,1.33m,0.01m,0.39m
Tom Clancy's The Division    ,PS4,4.37m,1.49m,2.04m,0.16m,0.69m
Need for Speed: Most Wanted    ,PS2,4.37m,2.03m,1.79m,0.08m,0.47m
Resistance: Fall of Man    ,PS3,4.37m,1.74m,1.72m,0.14m,0.76m
Tom Clancy's Rainbow Six: Siege    ,PS4,4.36m,1.29m,2.06m,0.36m,0.64m
Call of Duty: Advanced Warfare    ,X360,4.34m,2.81m,1.13m,0.00m,0.41m
Sonic the Hedgehog    ,GEN,4.34m,3.03m,0.91m,0.26m,0.13m
Kingdom Hearts II    ,PS2,4.33m,2.20m,0.58m,1.38m,0.17m
Watch Dogs    ,PS4,4.32m,1.40m,2.13m,0.11m,0.68m
Asteroids    ,2600,4.31m,4.00m,0.26m,N/A,0.05m
Batman: Arkham Asylum    ,PS3,4.28m,2.26m,1.33m,0.07m,0.63m
Fable II    ,X360,4.28m,2.51m,1.24m,0.11m,0.41m
Call of Duty: Advanced Warfare    ,PS3,4.27m,1.59m,1.81m,0.20m,0.67m
Namco Museum    ,GBA,4.24m,3.00m,1.11m,0.05m,0.07m
Daxter    ,PSP,4.23m,2.45m,1.02m,N/A,0.77m
Assassin's Creed: Revelations    ,PS3,4.23m,1.41m,2.03m,0.10m,0.69m
Metal Gear Solid 3: Snake Eater    ,PS2,4.23m,1.46m,0.00m,0.83m,1.93m
Assassin's Creed: Revelations    ,X360,4.22m,2.28m,1.47m,0.04m,0.44m
Warcraft II: Tides of Darkness    ,PC,4.21m,1.70m,2.27m,N/A,0.23m
FIFA Soccer 06    ,PS2,4.21m,0.78m,2.55m,0.04m,0.84m
EyeToy Play    ,PS2,4.20m,0.88m,2.30m,0.20m,0.83m
Gran Turismo 5 Prologue    ,PS3,4.20m,1.28m,1.83m,0.57m,0.52m
Street Fighter IV    ,PS3,4.19m,2.04m,1.05m,0.59m,0.52m
FIFA Soccer 12    ,X360,4.18m,0.85m,2.79m,0.02m,0.52m
Call of Duty: Ghosts    ,PS4,4.17m,1.79m,1.64m,0.05m,0.69m
Teenage Mutant Ninja Turtles    ,NES,4.17m,3.38m,0.44m,0.31m,0.04m
Excitebike    ,NES,4.16m,2.04m,0.48m,1.57m,0.07m
Frogger    ,PS,4.16m,3.79m,0.27m,N/A,0.11m
Star Wars Battlefront (2015)    ,XOne,4.15m,2.49m,1.26m,0.02m,0.38m
FIFA 14    ,X360,4.15m,0.94m,2.92m,0.01m,0.29m
Nintendogs + cats    ,3DS,4.15m,1.44m,1.69m,0.73m,0.29m
Madden NFL 2003    ,PS2,4.14m,3.36m,0.21m,0.01m,0.56m
Assassin's Creed: Unity    ,PS4,4.14m,1.25m,2.16m,0.09m,0.65m
Destiny 2    ,PS4,4.14m,1.92m,1.44m,0.10m,0.69m
Half-Life    ,PC,4.12m,4.03m,0.00m,0.09m,N/A
Super Mario World 2: Yoshi's Island    ,SNES,4.12m,1.65m,0.61m,1.76m,0.09m
Batman: Arkham Knight    ,PS4,4.11m,1.65m,1.68m,0.11m,0.66m
FIFA 07 Soccer    ,PS2,4.11m,0.71m,2.48m,0.03m,0.89m
The Sims 4    ,PC,4.10m,1.20m,2.60m,N/A,0.30m
Street Fighter II Turbo    ,SNES,4.10m,1.42m,0.51m,2.10m,0.07m
World of Warcraft: The Burning Crusade    ,PC,4.09m,2.57m,1.52m,N/A,N/A
